Brand,Flavor,Bag  Weight (kg),kcal/kg,$/bag
Royal Canin,Apetite Control,1.36,3302,38.99
Nulo,"Baked and Coated Chickin, Turkey & White Fish",1.81,4573,32.99
Go! Solutions,Sensitives,1.36,4180,27.99
