Brand,Flavor,Cans/Case,g/can,kcal/kg,$/can
Nulo (pate),Chicken and Turkey,1,156,1239,2.99
Nulo (minced),Turkey and Duck,1,85,900,2.49
Royal Canin,Spayed and Neutered Adult,1,85,692,3.49
Tiki Cat,After Dark,8,155,750,39.99
